pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
(R)-(-)-apomorphine,VMWNQDUVQKEIOC-CYBMUJFWSA-N,Launched,dopamine receptor agonist,ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A,neurology/psychiatry,Parkinson's Disease
(R)-(-)-rolipram,HJORMJIFDVBMOB-LBPRGKRZSA-N,Phase 1,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D|PDE5A,,
(R)-baclofen,KPYSYYIEGFHWSV-QMMMGPOBSA-N,Phase 3,benzodiazepine receptor agonist,GABBR1|GABBR2,,
(S)-(+)-rolipram,HJORMJIFDVBMOB-GFCCVEGCSA-N,Phase 1,phosphodiesterase inhibitor,PDE4B|PDE4D,,
"[sar9,met(o2)11]-substance-p",OUPXSLGGCPUZJJ-SARDKLJWSA-N,Preclinical,tachykinin antagonist,TACR1,,
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",LDLCEGCJYSDJLX-UPHRSURJSA-N,Preclinical,,,,
"1-(1,2-diphenylethyl)piperidine-(+/-)",JQWJJJYHVHNXJH-LJQANCHMSA-N,Preclinical,glutamate receptor antagonist,,,
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,NJEIOWSBPCZKTL-LLVKDONJSA-N,Preclinical,,,,
1-acetyl-4-methylpiperazine,YSDBJKNOEWSFGA-UHFFFAOYSA-N,Preclinical,acetylcholine receptor agonist,,,
1-azakenpaullone,NTSBZVCEIVPKBJ-UHFFFAOYSA-N,Preclinical,glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,,
1-deoxymannojirimycin,LXBIFEVIBLOUGU-KVTDHHQDSA-N,Preclinical,alpha mannosidase inhibitor,MAN2A1,,
1-EBIO,CXUCKELNYMZTRT-UHFFFAOYSA-N,Preclinical,potassium channel activator,KCNN1|KCNN2|KCNN3|KCNN4,,
1-ethyl-2-pyrrolidone,ZFPGARUNNKGOBB-UHFFFAOYSA-N,Preclinical,transdermal absorption-enhancing compound,,,
1-hexadecanal,NIOYUNMRJMEDGI-UHFFFAOYSA-N,Preclinical,sphingosine 1-phosphate receptor substrate,DBI|RHO,,
1-hexadecanol,BXWNKGSJHAJOGX-UHFFFAOYSA-N,Launched,,,dermatology,cosmetic
1-naphthyl-PP1,XSHQBIXMLULFEV-UHFFFAOYSA-N,Preclinical,SRC inhibitor,SRC,,
1-octacosanol,CNNRPFQICPFDPO-UHFFFAOYSA-N,Phase 2,,,,
1-octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,Phase 2,,GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1,,
1-phenylbiguanide,CUQCMXFWIMOWRP-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR3A|HTR3B,,
"1,12-Besm",PGMIWVSHZMWSSI-UHFFFAOYSA-N,Phase 2,polyamine biosynthesis inhibitor,,,
"1,2,3,4,5,6-hexabromocyclohexane",QFQZKISCBJKVHI-UHFFFAOYSA-N,Preclinical,JAK inhibitor,JAK2,,
"1,3-dipropyl-8-phenylxanthine",CLIGSMOZKDCDRZ-UHFFFAOYSA-N,Preclinical,adenosine receptor antagonist,,,
"1,4-butanediol",WERYXYBDKMZEQL-UHFFFAOYSA-N,Phase 1,benzodiazepine receptor agonist|gamma hydroxybutyric acid agonist,MAN1B1|PLA2G2A|PLA2G2E,,
"1,5-dicaffeoylquinic-acid",YDDUMTOHNYZQPO-PSEXTPKNSA-N,Phase 1,,,,
10-deacetylbaccatin,YWLXLRUDGLRYDR-ZHPRIASZSA-N,Preclinical,antitumor agent,,,
10-DEBC,GYBXAGDWMCJZJK-UHFFFAOYSA-N,Preclinical,AKT inhibitor,PIM1,,
10-hydroxycamptothecin,HAWSQZCWOQZXHI-FQEVSTJZSA-N,Preclinical,topoisomerase inhibitor,TOP1,,
10058-F4,SVXDHPADAXBMFB-JXMROGBWSA-N,Preclinical,c-Myc inhibitor,,,
12-O-tetradecanoylphorbol-13-acetate,PHEDXBVPIONUQT-RGYGYFBISA-N,Phase 2,PKC activator,KCNT2|TRPV4,,
1400W,RODUKNYOEVZQPR-UHFFFAOYSA-N,Preclinical,nitric oxide synthase inhibitor,NOS1|NOS2|NOS3,,
"16,16-dimethylprostaglandin-e2",QAOBBBBDJSWHMU-WMBBNPMCSA-N,Phase 2,prostanoid receptor agonist,HPGD,,
17-hydroxyprogesterone-caproate,DOMWKUIIPQCAJU-LJHIYBGHSA-N,Launched,progesterone receptor agonist,AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR,obstetrics/gynecology,spontaneous preterm birth
17-PA,SINAMTXBCYKFDL-WBJZGETLSA-N,Preclinical,glucocorticoid receptor agonist,,,
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,NFONIVRMILHYLH-GOSISDBHSA-N,Preclinical,,,,
"1S,2R-phenylpropanolamine",DLNKOYKMWOXYQA-VXNVDRBHSA-N,Withdrawn,adrenergic receptor agonist,,,
2-(1-adamantylamino)benzoic-acid,XKZLSYWCDJZTMW-UHFFFAOYSA-N,Preclinical,,,,
2-(3-mercaptopropyl)pentanedioic-acid,FNLNSQHJKVQCBP-ZCFIWIBFSA-N,Phase 1,glutamate carboxypeptidase inhibitor,FOLH1,,
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",UTWSZXBGTLNPOV-UHFFFAOYSA-N,Preclinical,,,,
2-[1-(4-piperonyl)piperazinyl]benzothiazole,BYHKGNWKJMGHGE-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR4,,
2-aminobenzenesulfonamide,YAZSBRQTAHVVGE-UHFFFAOYSA-N,Preclinical,carbonic anhydrase inhibitor,CA12|CA14|CA2|CA6|CA9,,
2-APB,BLZVCIGGICSWIG-UHFFFAOYSA-N,Preclinical,"1,4,5-trisphosphate inhibitor",TRPC1|TRPC3|TRPC4|TRPC5|TRPC6|TRPC7|TRPM2|TRPM3|TRPM6|TRPV1|TRPV6,,
2-BFI,YTJOHEUHUVBKSB-UHFFFAOYSA-N,Preclinical,imidazoline receptor ligand,ADRA2A|ADRA2B|ADRA2C|MAOA|MAOB,,
2-chloro-N6-cyclopentyladenosine,XSMYYYQVWPZWIZ-IDTAVKCVSA-N,Preclinical,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,
2-chloroadenosine,BIXYYZIIJIXVFW-UUOKFMHZSA-N,Preclinical,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B,,
2-chloropyrazine,GELVZYOEQVJIRR-UHFFFAOYSA-N,Preclinical,,,,
2-CMDO,OTKUTGIVEREJLL-UHFFFAOYSA-N,Preclinical,dopamine receptor antagonist,DRD2|DRD4,,
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose,VUVHIMLGTHRGQZ-YTLHQDLWSA-N,Preclinical,,,oncology|endocrinology,pancreatic cancer|hypoglycemia
2-deoxyglucose,PMMURAAUARKVCB-ZXXMMSQZSA-N,Phase 2,glycolysis inhibitor,SLC2A1|SLC2A2|SLC2A3|SLC2A4,,
2-ethoxybenzoic-acid,XDZMPRGFOOFSBL-UHFFFAOYSA-N,Phase 1,analgesic agent,,,
"2-ethyl-1,3-hexanediol",RWLALWYNXFYRGW-JGVFFNPUSA-N,Preclinical,,,,
2-fluoro-2-deoxy-D-galactose,ZCXUVYAZINUVJD-AIECOIEWSA-N,Phase 1,,LCT,,
2-fluorofucose,IRKXGKIPOMIQOD-QYESYBIKSA-N,Phase 1,,,,
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",BWKBPVRNWJFLSC-FROSJQSHSA-N,Preclinical,,,,
2-hydroxyethyl-salicylate,LVYLCBNXHHHPSB-UHFFFAOYSA-N,Launched,,,neurology/psychiatry,pain relief
2-hydroxyflutamide,YPQLFJODEKMJEF-UHFFFAOYSA-N,Phase 2,androgen receptor antagonist,AR,,
2-hydroxysaclofen,WBSMZVIMANOCNX-SECBINFHSA-N,Preclinical,GABA receptor antagonist,GABBR1|GABBR2,,
2-iminobiotin,WWVANQJRLPIHNS-ZKWXMUAHSA-N,Phase 2,nitric oxide synthase inhibitor,NOS1|NOS2,,
2-iodohippuric-acid,CORFWQGVBFFZHF-UHFFFAOYSA-N,Preclinical,,,,
2-iodomelatonin,FJDDSMSDZHURBJ-UHFFFAOYSA-N,Preclinical,melatonin receptor agonist,MTNR1A|MTNR1B|NQO2,,
